518,Fe-FCC,84,0.78
519,Fe-FCC,201,1.2
533,Fe-FCC,119,0.92
543,Fe-FCC,128,0.96
547,Fe-FCC,1907,3.7
553,Fe-FCC,201,1.2
556,Fe-FCC,205,1.21
557,Fe-FCC,83,0.77
558,Fe-FCC,17,0.35
559,Fe-FCC,289,1.44
571,Fe-FCC,29,0.46
575,Fe-FCC,73,0.72
583,Fe-FCC,23,0.41
592,Fe-FCC,104,0.86
611,Fe-FCC,131,0.97
612,Fe-FCC,123,0.94
621,Fe-FCC,16,0.34
624,Fe-FCC,334,1.55
631,Fe-FCC,14,0.32
633,Fe-FCC,33,0.49
634,Fe-FCC,75,0.73
635,Fe-FCC,160,1.07
639,Fe-FCC,179,1.13
643,Fe-FCC,48,0.59
660,Fe-FCC,104,0.86
664,Fe-FCC,67,0.69
669,Fe-FCC,16,0.34
670,Fe-FCC,63,0.67
683,Fe-FCC,38,0.52
690,Fe-FCC,218,1.25
694,Fe-FCC,422,1.74
722,Fe-FCC,1083,2.79
724,Fe-FCC,632,2.13
737,Fe-FCC,13,0.31
740,Fe-FCC,43,0.55
741,Fe-FCC,30,0.46
746,Fe-FCC,201,1.2
749,Fe-FCC,343,1.57
750,Fe-FCC,19,0.37
753,Fe-FCC,95,0.82
756,Fe-FCC,88,0.79
757,Fe-FCC,13,0.31
758,Fe-FCC,50,0.6
766,Fe-FCC,38,0.52
778,Fe-FCC,311,1.49
787,Fe-FCC,87,0.79
796,Fe-FCC,31,0.47
799,Fe-FCC,117,0.92
800,Fe-FCC,29,0.46
801,Fe-FCC,542,1.97
808,Fe-FCC,84,0.78
825,Fe-FCC,113,0.9
826,Fe-FCC,103,0.86
831,Fe-FCC,44,0.56
832,Fe-FCC,173,1.11
846,Fe-FCC,175,1.12
847,Fe-FCC,316,1.5
855,Fe-FCC,571,2.02
856,Fe-FCC,27,0.44
869,Fe-FCC,20,0.38
884,Fe-FCC,453,1.8
887,Fe-FCC,364,1.61
892,Fe-FCC,122,0.93
893,Fe-FCC,41,0.54
899,Fe-FCC,131,0.97
901,Fe-FCC,170,1.1
903,Fe-FCC,63,0.67
924,Fe-FCC,116,0.91
933,Fe-FCC,166,1.09
946,Fe-FCC,24,0.41
948,Fe-FCC,330,1.54
950,Fe-FCC,10,0.27
952,Fe-FCC,465,1.82
963,Fe-FCC,169,1.1
967,Fe-FCC,88,0.79
968,Fe-FCC,633,2.13
972,Fe-FCC,188,1.16
978,Fe-FCC,9218,8.13
986,Fe-FCC,804,2.4
1010,Fe-FCC,96,0.83
1034,Fe-FCC,54,0.62
1035,Fe-FCC,18,0.36
1038,Fe-FCC,39,0.53
1041,Fe-FCC,297,1.46
1048,Fe-FCC,327,1.53
1065,Fe-FCC,53,0.62
1067,Fe-FCC,301,1.47
1069,Fe-FCC,16,0.34
1070,Fe-FCC,11,0.28
1075,Fe-FCC,110,0.89
1076,Fe-FCC,151,1.04
1085,Fe-FCC,182,1.14
1091,Fe-FCC,90,0.8
1096,Fe-FCC,11,0.28
1103,Fe-FCC,195,1.18
1121,Fe-FCC,82,0.77
1125,Fe-FCC,79,0.75
1131,Fe-FCC,244,1.32
1140,Fe-FCC,13,0.31
1145,Fe-FCC,110,0.89
1148,Fe-FCC,678,2.2
1154,Fe-FCC,16,0.34
1158,Fe-FCC,2617,4.33
1162,Fe-FCC,51,0.6
1170,Fe-FCC,12,0.29
1194,Fe-FCC,115,0.91
1202,Fe-FCC,606,2.08
1207,Fe-FCC,168,1.1
